id,title,cuisine,difficulty,total_time,variant_type,protein_type,base_recipe,issues
f3d4ea05-e528-49cf-8564-67d97faf0dbb,Grilled Pesto Paneer Recipe,indian,easy,30,standard,vegetarian,Grilled Pesto Paneer Recipe,veg_tags_with_meat_words
a8f81606-0f05-4d1c-b98a-f622f8494c95,Grilled Sub Sandwich Recipe With Paneer & Roasted Vegetables,indian,hard,30,standard,vegetarian,Grilled Sub Sandwich Recipe With Paneer & Roasted Vegetables,veg_tags_with_meat_words
5ab5c2c7-2a6f-4f36-92da-8def4b8ea3bb,Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,indian,medium,30,standard,vegetarian,Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,veg_tags_with_meat_words
f0a4a632-789f-42bd-aff1-c4cd0b6e371b,Herbed Brown Rice Recipe,indian,easy,30,standard,vegetarian,Herbed Brown Rice Recipe,veg_tags_with_meat_words
645d3846-8b5c-4dc6-a690-3758f0bce2f1,Herbed Butter Garlic Quinoa Recipe,indian,medium,30,standard,vegetarian,Herbed Butter Garlic Quinoa Recipe,veg_tags_with_meat_words
24b1b7f7-f4f9-408f-83eb-3fc798c73c0c,Indian Style Fajitas Recipe,indian,easy,30,standard,vegetarian,Indian Fajitas Recipe,veg_tags_with_meat_words
2bca89b0-8f0f-40d7-8f64-e5c8a51ee868,Indo Chinese Hot and Sour Spinach Soup Recipe,indian,hard,30,standard,vegetarian,Indo Chinese Hot and Sour Spinach Soup Recipe,veg_tags_with_meat_words
c6d2f9d7-72b7-4c53-9fac-c3af81ceb19a,Lemon Parsley Quinoa Recipe,indian,medium,30,standard,vegetarian,Lemon Parsley Quinoa Recipe,veg_tags_with_meat_words
8186958f-6296-47d3-863d-2c8c58757445,Mangalorean Manoli Bheeja Upkari Recipe - Ivy Gourd & Cashew Sabzi,indian,medium,30,standard,vegetarian,Mangalorean Manoli Bheeja Upkari Recipe - Ivy Gourd & Cashew Sabzi,veg_tags_with_meat_words
38bedd8b-6f72-47e8-9235-af5ab944e200,Menthya Jolada Mudde Recipe - Methi & Jowar Balls Recipe,indian,easy,30,standard,vegetarian,Menthya Jolada Mudde Recipe - Methi & Jowar Balls Recipe,veg_tags_with_meat_words
67fa45c2-a8c5-4ef8-916a-02cb6531eac5,Mint Flavoured Mixed Vegetable Pulao Recipe,indian,hard,30,standard,vegetarian,Mint Flavoured Mixed Vegetable Pulao Recipe,veg_tags_with_meat_words
33bbc4e2-a806-4135-9470-cca964183b60,Mixed Vegetable Jalfrezi Recipe,indian,hard,30,standard,vegetarian,Mixed Vegetable Jalfrezi Recipe,veg_tags_with_meat_words
3dafe756-4e36-4d51-a74b-d0e0cfd56503,Paneer And Grapes Platter Recipe - Healthy Party Appetizer,indian,medium,30,standard,vegetarian,Paneer And Grapes Platter Recipe - Healthy Party Appetizer,veg_tags_with_meat_words
